driver,time,constructor,time(sec)
max_verstappen,00:01:32.0,honda,92.0
leclerc,00:01:31.8,ferrari,91.8
bottas,00:01:31.9,mercedes,91.9
hulkenberg,00:01:32.0,mercedes,92.0
hamilton,00:01:32.1,mercedes,92.1
vettel,00:01:32.2,ferrari,92.2
ricciardo,00:01:32.3,renault,92.3
stroll,00:01:32.4,mercedes,92.4
ocon,00:01:32.6,renault,92.6
sainz,00:01:32.7,renault,92.7
albon,00:01:33.4,honda,93.4
gasly,00:01:33.4,honda,93.4
norris,00:01:33.7,renault,93.7
raikkonen,00:01:33.7,ferrari,93.7
latifi,00:01:33.8,mercedes,93.8
giovinazzi,00:01:33.9,ferrari,93.9
russell,00:01:33.9,mercedes,93.9
grosjean,00:01:34.4,ferrari,94.4
kevin_magnussen,00:01:36.0,ferrari,96.0
kvyat,00:01:52.5,honda,112.5
